zone,formation,organisme,ville,adresse,duree,prochaine_session,site_web,email_principal,emails_trouves,email_source,email_confiance,telephone_principal,telephones_trouves,certifiante,financement,type_formation,objectif,contenu,validation,url_detail,url_listing,status_scrape
69,Lean management,Lean Six Sigma France B2b (LEAN SIX SIGMA FRANCE B2B),69003 Lyon 3e,129 Rue Servient | Tour Part Dieu | 69003 Lyon 3e | France,Durée de 15 heures,Prochaine session,https://learn.fr.leansixsigma.org/,ybu@leansixsigmafrance.com,ybu@leansixsigmafrance.com,france_travail,100,0178900371,0178900371,Certifiante,Formation financée par un Opérateur de Compétences mandaté par les branches professionnelles concernées,En centre,,"Programme : - Historique et positionnement du Lean Management - Méthode DMAIC et Kaizen Event - Capacité de processus : temps de cycle et temps Takt - Encours, stocks, délai d'attente et loi de Little - Carte du Flux de Valeur (VSM) - Diagramme des rythmes - Analyse de la valeur ajoutée et élimination des gaspillages - Process Cycle Efficiency et Overal Process Efficiency - First Pass Yield et Rolled Throughput Yield - Théorie des contraintes et équilibrage de ligne - Flux continu - Flux tiré et kanban - Gestion visuelle, poka-yoke, 5S - SMED - Heijunka, ajustement dynamique de capacité et standardisation - Encours maximum acceptable (WIPmax) - Kata et Animation à Intervalle Court - Toyota Way - Analyse de flux complexes - Analyse des Modes de Défaillances (AMDEC) | Validation | Type de validation : | Diplôme autres ministères | Certification :",Type de validation : | Diplôme autres ministères | Certification : | Lean management,https://candidat.francetravail.fr/formations/detail/11820220/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
69,Préparation au concours d'adjoint administratif d'État principal de 2ème classe,"Skill and you (Skill and You, Be academie, Cours Minerve, Cours Servais, Deficompta, Ecole chez soi, Ecole des pros, Educatel, ESECAD, Fashion skills, IFSA, Karis Formations, Lignes et formations, Naturadis, Eric Kayser school)",75004 Paris,Formation a distance | 75004 Paris | France,Durée de 335 heures (dont 35 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,foad@skillandyou.com,foad@skillandyou.com,france_travail,100,0146006878,0146006878,,Formation financée par France Travail,À distance,,"Votre intégration - Guide d'intégration - Bienvenue dans votre formation - Guide Métier Adjoint administratif d'État principal de 2ème classe - Guide de la formation - Guide des épreuves - Le concours d'adjoint administratif d'État principal de 2ème classe Aide à la réalisation de vos documents professionnels Compléter votre livret de suivi des compétences professionnelles Retranscrire et ordonner les idées principales d'un texte Annales corrigées Épreuves blanches Solliciter les connaissances fondamentales pour le concours Comprendre l'administration française Comprendre le fonctionnement des institutions françaises Acquérir des connaissances en français Acquérir une bonne culture générale Mathématiques Les tests d'aptitudes verbales Annales corrigées Épreuves blanches Mobiliser les compétences professionnelles de l'adjoint administratif d'État Bureautique Épreuves blanches Techniques et recherche d'emploi/stage Sensibilisation au développement durable | Organisme | Skill and you (Skill and You, Be academie, Cours Minerve, Cours Servais, Deficompta, Ecole chez soi, Ecole des pros, Educatel, ESECAD, Fashion skills, IFSA, Karis Formations, Lignes et formations, Naturadis, Eric Kayser school) | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11205913/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
69,Certification CLOE français langue étrangère - spécialité hôtellerie Restauration niveau A2 vers B1 (FOAD),Nepsod Evolution,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 331 heures (dont 35 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,accueil@nepsod.com,accueil@nepsod.com,france_travail,100,0474639587,0474639587,Certifiante,Formation financée par France Travail,À distance,,"Accueil et initiation à la formation (1h30) - Module FLE visée insertion professionnelle : chercher un emploi, présenter son métier, présenter ses projets, interagir avec ses collègues, manipuler les outils numériques (120h30) - Module FOS Hôtellerie Restauration :découvrir la cuisine, travailler en cuisine, identifier les besoins d'un client, présenter des produits et services, gérer les réclamations (50h) Module environnement social et culturel : vie quotidienne et relations sociales, loisirs, patrimoine, citoyenneté et engagement (43h) Module Préparation et recherche de stage en entreprise (14h) Période de stage en entreprise (35 h) Module remise à niveau numérique (35 h maximum) Module accompagnement à l'après-formation (21h maximum) Module Préparation et passage de la certification CLOE (10h) Bilan final (1h) | Validation | Type de validation : | Diplôme autres ministères | Certification :",Type de validation : | Diplôme autres ministères | Certification : | Certification CLOE français langue étrangère,https://candidat.francetravail.fr/formations/detail/11576792/true/false/true/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
69,Diplôme d'État d'infirmier(ière) - DEI,Croix Rouge Française - Institut Régional de Formation Sanitaire et Sociale Auvergne-Rhône-Alpes (Croix-Rouge Compétence Auvergne-Rhône-Alpes - Site St Etienne),69003 Lyon 3e,115 Avenue Lacassagne | 69003 Lyon 3e | France,Durée de 4200 heures (dont 2100 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,competence.ara@croix-rouge.fr,competence.ara@croix-rouge.fr | lyon.competence-ara@croix-rouge.fr,france_travail,100,0472115560,0472115560,Certifiante,Formation financée par la région,En centre,,"La formation comprend 36 matières réparties dans 59 unités d'enseignements. Les unités d'enseignements couvrent 6 champs : sciences humaines, sociales et droit sciences biologiques et médicales sciences et techniques infirmières, fondements et méthodes sciences et techniques infirmières, interventions intégration des savoirs et posture professionnelle infirmière méthodes de travail (bureautique,recherche documentaire, rédaction de documents écrits, communication, anglais) La formation dure trois ans. Les enseignements sont répartis de la manière suivante : la formation théorique de1 800h, sous la forme de cours magistraux (750 h) travaux dirigés (1 050 h) le travail personnel guidé (suivi pédagogique, temps personnel guidé, supervision, travaux entre étudiants- 300 h) la formation clinique de 2 100 h le travail personnel complémentaire est estimé à 900 heures environ, soit 300 h par an. | Validation | Type de validation : | Diplôme autres ministères | Certification :",Type de validation : | Diplôme autres ministères | Certification : | Diplôme d'État d'infirmier(ière),https://candidat.francetravail.fr/formations/detail/11533526/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=0-9&tri=0,ok
69,Diplôme d'État de technicien de laboratoire médical,Association des Fondateurs et Protecteurs de l'Institut Catholique de Lyon (AFPICL) (UCLy - Institut Catholique de Lyon),69002 Lyon 2e,10 place des Archives | 69002 Lyon 2e | France,Durée de 1120 heures,Prochaine session,https://plmpl.fr/c/zFjGj,fp@univ-catholyon.fr,fp@univ-catholyon.fr,france_travail,100,0472325134,0472325134,Certifiante,Formation financée par la région,En centre,,,Type de validation : | Diplôme autres ministères | Certification : | Diplôme d'État de technicien de laboratoire médical,https://candidat.francetravail.fr/formations/detail/11026378/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
69,Diplôme d'État d'infirmier(ière),Ocellia,69009 Lyon 9e,20 Rue de la Claire | CP 320 | 69009 Lyon 9e | France,Durée de 4200 heures (dont 2100 heures en entreprise),Prochaine session,https://ocellia.fr/formations-diplomantes-certifiantes/infirmier,admission@ocellia.fr,admission@ocellia.fr,france_travail,100,0478834088,0478834088,Certifiante,Formation financée par la région,En centre,,"La formation comprend 36 matières réparties dans 59 unités d'enseignements. Les unités d'enseignements couvrent 6 champs : sciences humaines, sociales et droit sciences biologiques et médicales sciences et techniques infirmières, fondements et méthodes sciences et techniques infirmières, interventions intégration des savoirs et posture professionnelle infirmière méthodes de travail La formation dure trois ans. Les enseignements sont répartis de la manière suivante : la formation théorique de 2 100 heures, sous la forme de cours magistraux (750 heures) travaux dirigés (1 050 heures) et travail personnel guidé (300 heures) ; la formation clinique de 2 100 heures le travail personnel complémentaire est estimé à 900 heures environ, soit 300 heures par an | Validation | Type de validation : | Diplôme autres ministères | Certification :",Type de validation : | Diplôme autres ministères | Certification : | Diplôme d'État d'infirmier(ière),https://candidat.francetravail.fr/formations/detail/11731197/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=0-9&tri=0,ok
69,Diplôme d'État d'ambulancier,Institut de Formation aux Carrières de Santé - Secteur Est des Hospices civils de Lyon (Institut de Formation aux Carrières de Santé - Secteur Est des Hospices civils de Lyon (IFCS - HCL)),69003 Lyon 3e,5 Avenue Esquirol | 69003 Lyon 3e | France,Durée de 801 heures (dont 245 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,magaly.lebrat@chu-lyon.fr,magaly.lebrat@chu-lyon.fr,france_travail,100,0472117903,0472117903,Certifiante,Formation financée par la région,En centre,,Non renseigne | Validation | Type de validation : | Diplôme autres ministères | Certification :,Type de validation : | Diplôme autres ministères | Certification : | Diplôme d'État d'ambulancier,https://candidat.francetravail.fr/formations/detail/11871421/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
69,Préparation aux carrières militaires,UFCV Auvergne Rhône-Alpes,69002 Lyon 2e,1 Place GENSOUL | 69002 Lyon 2e | France,Durée de 665 heures (dont 105 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,auvergne@ufcv.fr,auvergne@ufcv.fr | gaelle.tete@ufcv.fr,france_travail,100,0651338111,0651338111,,Formation financée par la région,En centre,,"Les premières semaines de formation - .Accueil - présentation détaillé du déroulement de la formation, point administratif, ouverture des dossiers militaires Positionnements français, mathématiques, tests psychotechniques, culture générale, anglais, sport Bilan personnel et professionnel Techniques de recherche d'emploi : fiches métier, CV, lettres de demande de stage Recherche de stage Communication, cohésion de groupe - Culture militaire - fonctionnement de la Défense Ordre serré, première prise en main militaire, militarité Présentation de l'Armée de terre Présentation des différents métiers de l'Armée de terre Présentation de régiments Les premiers pas au sein de l'Armée de terre, la vie en régiment, la vie du soldat Présentation des tests de sélection Préparation aux entretiens Interventions de militaires d'active et retraités, témoignages Visite de régiments - Coaching sportif - Endurance, course, fractionné Renforcement musculaire Crossfit Sports collectifs Randonnée, parcours nature Nutrition Tests blancs : luc léger, tractions ou tirage poulie, squats - Remise à niveau - Français - Vocabulaire Orthographe Eloquence, entraînement à l'oral Compréhension verbale, logique verbale - Remise à niveau - Mathématiques - Les 4 opérations, calcul mental, calcul de vitesse Pourcentages Conversions Géométrie, spatial Problèmes, logique numérique - Remise à niveau - Tests psychotechniques - Raisonnement déductif Raisonnement inductif Raisonnement pratique technique Raisonnement analogique Spatial Attention Vitesse de codage Tests de personnalité - Préparation à l'entretien - Communication Gestion du stress, préparation mentale Préparation écrite Simulations d'entretien en individuel et en collectif - Histoire - Frise historique 1ère guerre mondiale 2nd guerre mondiale Guerre d'Algérie - Education civique et citoyenne - Fonctionnement des institutions, rôle du Président de la République Le droit de vote Laïcité, citoyenneté, valeurs de la République Droits et devoirs du citoyen - Géographie - France Europe Europe de l'Est Afrique Asie Monde - Immersions en entreprises - Stage civil - 70h : immersion en entreprise pour valider le projet civil qui servira de plan B PMT - 35h : Préparation Militaire Terre. Immersion dans un régiment pendant une semaine. - | Organisme | UFCV Auvergne Rhône-Alpes | Lieu de la formation | 1 Place GENSOUL",,https://candidat.francetravail.fr/formations/detail/11711127/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=0-9&tri=0,ok
69,Praticien QE by Fullémo - Usage professionnel des outils d'évaluation émotionnelle QEg et QEPro,Fullemo,69001 Lyon,Formation a distance | 69001 Lyon | France,Durée de 41 heures,Prochaine session,https://plmpl.fr/c/zFjGj,contact@fullemo.com,contact@fullemo.com | mathilde.helies@fullemo.com,france_travail,100,0650208877,0650208877,,Formation financée par la région,À distance,,"PARTIE 1 - RENFORCER SON INTELLIGENCE INTRAPERSONNELLE Le Langage Émotionnel : bases, composantes et compétences Définitions et repères conceptuels Vos 7 sens : la base de votre intelligence émotionnelle Identifier ses biais cognitifs pour mieux décider Dépasser ses blocages intérieurs Performer sans s'épuiser - prévenir stress & burn-out Préserver sa santé émotionnelle et mentale : ressources internes Outils d'organisation : RACI & Matrice d'Eisenhower Techniques de régulation interne : accueillir, relâcher, pacifier PARTIE 2 - DEVELOPPER SES COMPETENCES EMOTIONNELLES Sous-compétence 1 - Interpréter les indices émotionnels Sous-compétence 2 - Scanner les manifestations corporelles Sous-compétence 3 - Identifier les déclencheurs émotionnels Sous-compétence 4 - Situer l'émotion dans sa chronologie Sous-compétence 5 - Anticiper les conséquences émotionnelles Sous-compétence 6 - Définir l'état émotionnel cible Sous-compétence 7 - Activer les stratégies de régulation émotionnelle PARTIE 3 - DEVELOPPER SON INTELLIGENCE INTERPERSONNELLE Clarté mentale & pensée critique Créer le lien : connexion & synchronisation Communication consciente & gestion émotionnelle de la relation Dynamique relationnelle & signaux émotionnels Blocages de la communication & leviers de négociation Assertivité & communication d'impact JOUR 1 - FONDAMENTAUX QE & CADRE D'ANALYSE & QUESTIONNEMENT CIBLE Accueil, cadre, objectifs, règles de fonctionnement, attendus épreuves certif (attentes, gestion du temps, critères) Rappels et alignement sur le référentiel QE : concepts, niveaux, indicateurs. Méthodologie d'analyse : appropriation du guide de débriefing, structure attendue, pièges fréquents Questionnement ciblé : comment sécuriser l'analyse par des questions ""justes"". Études de cas guidées Mises en pratique JOUR 2 - APPROFONDISSEMENT, CAS COMPLEXES & PLAN D'ACCOMPAGNEMENT Cas complexes : incohérences, signaux faibles, biais d'interprétation. Passage analyse ? plan d'accompagnement Atelier : construire un plan aligné QE (avec justification) Mises en pratique JOUR 3 - POSTURE & STANDARD DE CERTIFICATION Retour d'expérience sur les trainings Simulation d'entretien : observation des compétences émotionnelles et relationnelles. Étude de cas en temps limité (format épreuve) Débrief structuré : forces, axes, plan de progression. Mises en pratique Cadrage certification JOUR 4 - JOURNEE DE CERTIFICATION | Organisme | Fullemo | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11844384/true/false/false/false,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
69,Titre professionnel électricien d'équipement du bâtiment,GRETA CFA Lyon Métropole,69120 Vaulx-en-Velin,2 rue Ho Chi Minh | 69120 Vaulx-en-Velin | France,Durée de 1296 heures (dont 175 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,greta.lyonmetropole@ac-lyon.fr,greta.lyonmetropole@ac-lyon.fr,france_travail,100,0478788484,0478788484,Certifiante,Formation financée par France Travail,En centre,,,Type de validation : | Diplôme autres ministères | Certification : | Titre professionnel électricien d'équipement du bâtiment,https://candidat.francetravail.fr/formations/detail/11526613/true/false/false/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-69&range=10-19&tri=0,ok
